BookID,Title,Author,Genre,Subgenre,Publisher,PublicationYear,ISBN,PageCount,Price,CopiesSold,Rating,Language,Format,Edition,BindingType,CoverImageURL,Description,Keywords,Awards
23,Whispers of the Woods,Diana Edwards,Fantasy,Fairy Tale,Enchanted Forest Press,2022,978-1-123-45677-2,360,16.25,2000,4.3,English,Hardcover,1st,Case,https://example.com/whisperswoods.jpg,"A magical fairy tale set in an enchanted forest.","Fantasy,Fairy Tale,Magic,Forest",
24,The Shadow Killer,Ethan Fox,Thriller,Crime Thriller,Dark Justice Publishing,2023,978-0-876-54320-3,320,15.50,2700,4.5,English,Paperback,1st,Perfect,https://example.com/shadowkiller.jpg,"A suspenseful crime thriller with a twist.","Thriller,Crime,Suspense,Mystery",
25,Adventures of Tom Sawyer Jr.,Gina Green,Children's,Adventure,Children's Classics,2024,978-1-345-67889-4,260,10.50,5200,4.8,English,Hardcover,Modern,Case,https://example.com/tomsawyerjr.jpg,"A modern retelling of a classic adventure story.","Childrens,Adventure,Friendship,Classic",
26,The Ultimate Guide to BBQ,Harry Hughes,Cookbook,BBQ,Smoked Delights,2022,978-0-765-43209-5,300,14.50,2200,4.4,English,Hardcover,1st,Spiral,https://example.com/ultbbq.jpg,"Everything you need to know about BBQ.","Cookbook,BBQ,Grilling,Recipes",
27,AI and the Future,Ivy Ingram,Technology,Artificial Intelligence,Tech Horizon Books,2023,978-1-456-78900-6,420,19.00,3800,4.7,English,Paperback,1st,Perfect,https://example.com/aiandfuture.jpg,"An exploration of the impact of AI on society.","AI,Artificial Intelligence,Technology,Future",
28,Modern Art Movements,Jack Johnson,Art,History,Modern Visions,2024,978-0-654-32108-7,480,26.00,1400,4.6,English,Hardcover,Revised,Case,https://example.com/modernart.jpg,"A comprehensive guide to modern art movements.","Art,History,Modern Art,Movements",
29,The Path to Enlightenment,Kelly King,Self-Help,Eastern Philosophy,Zen Wisdom Publishing,2022,978-1-567-89011-8,240,12.00,4000,4.8,English,Paperback,New Edition,Perfect,https://example.com/pathenlight.jpg,"A journey to inner peace through Eastern philosophy.","Self-Help,Philosophy,Enlightenment,Zen",
30,The Space Pirates of Andromeda,Liam Lane,Science Fiction,Space Adventure,Star Raiders Press,2023,978-0-543-21097-9,380,17.75,3400,4.9,English,Paperback,1st,Perfect,https://example.com/spacepirates.jpg,"A swashbuckling space adventure with daring pirates.","Sci-Fi,Space,Pirates,Adventure",
31,The Enchanted Castle,Mia Moore,Fantasy,Childrens Fantasy,Magic Kingdoms Publishing,2024,978-1-678-90122-0,340,15.00,2100,4.3,English,Hardcover,1st,Case,https://example.com/enchantedcastle.jpg,"A young princess discovers a magical castle.","Fantasy,Childrens,Magic,Castle",
32,The Serial Killer's Mind,Noah Nelson,Thriller,Psychological Thriller,Mind Games Publishing,2022,978-0-432-10986-1,300,16.50,2800,4.6,English,Paperback,1st,Perfect,https://example.com/serialkiller.jpg,"A chilling exploration of the mind of a serial killer.","Thriller,Psychological,Killer,Crime",
33,The Power of Gratitude,Olivia Owens,Self-Help,Positive Psychology,Grateful Living Press,2023,978-1-789-01233-2,200,11.00,4300,4.7,English,Paperback,New Edition,Perfect,https://example.com/gratitude.jpg,"Cultivating gratitude for a happier life.","Self-Help,Gratitude,Positive Psychology,Happiness",
34,The Martian Colonies,Patrick Perez,Science Fiction,Hard Sci-Fi,Red Planet Publishing,2024,978-0-321-09875-3,420,18.00,1800,4.2,English,Hardcover,1st,Case,https://example.com/martiancolonies.jpg,"A realistic depiction of life in the Martian colonies.","Sci-Fi,Mars,Colonies,Science",
35,The Witch's Apprentice,Quinn Reynolds,Fantasy,Young Adult Fantasy,Mystic Arts Press,2022,978-1-890-12344-4,380,17.50,3200,4.8,English,Paperback,1st,Perfect,https://example.com/witchapprentice.jpg,"A young woman learns the ways of magic.","Fantasy,Witch,Magic,Young Adult",
36,The Case of the Missing Diamond,Riley Simmons,Mystery,Amateur Sleuth,Cozy Crimes Press,2023,978-0-210-98764-5,340,14.00,2500,4.4,English,Paperback,1st,Perfect,https://example.com/missingdiamond.jpg,"A charming amateur sleuth solves a baffling mystery.","Mystery,Diamond,Sleuth,Crime",
37,The Little Mermaid Retold,Sophia Thompson,Children's,Fairy Tale,Ocean Tales Publishing,2024,978-1-901-23455-6,250,9.50,5600,4.9,English,Hardcover,Modern,Case,https://example.com/littlemermaid.jpg,"A modern retelling of a classic fairy tale.","Childrens,Mermaid,Fairy Tale,Ocean",
38,World Cuisine Made Easy,Tyler Underwood,Cookbook,International Cuisine,Global Kitchens Press,2022,978-0-109-87653-7,280,13.50,2300,4.5,English,Hardcover,1st,Spiral,https://example.com/worldcuisine.jpg,"Learn to cook delicious dishes from around the world.","Cookbook,Cuisine,International,Recipes",
39,Web Development for Dummies,Victoria Vance,Technology,Web Development,Tech Made Easy Publishing,2023,978-1-098-76542-8,450,19.50,3900,4.7,English,Paperback,1st,Perfect,https://example.com/webdev.jpg,"A simple guide to building websites.","Web Development,Technology,Programming,Web",
40,Impressionism and Beyond,William White,Art,History,Artistic Journey Press,2024,978-0-098-76541-9,500,27.00,1500,4.6,English,Hardcover,Revised,Case,https://example.com/impressionism.jpg,"An exploration of Impressionism and its influence.","Art,History,Impressionism,Artistic",
41,The Art of Letting Go,Xenia Yates,Self-Help,Emotional Healing,Release Publishing,2022,978-1-210-98764-0,220,10.75,4100,4.8,English,Paperback,New Edition,Perfect,https://example.com/lettinggo.jpg,"Learn to let go of the past and embrace the present.","Self-Help,Letting Go,Emotional Healing,Mindfulness",
42,The Battle for Kepler-186f,Yusuf Zen,Science Fiction,Space Opera,Galaxy Wars Publishing,2023,978-0-987-65430-1,400,18.25,3500,4.9,English,Paperback,1st,Perfect,https://example.com/keplerbattle.jpg,"A thrilling space opera with epic battles.","Sci-Fi,Space Opera,Battle,Adventure",
43,The Secret Garden of the Heart,Zara Adams,Fantasy,Romance Fantasy,Enchanted Hearts Publishing,2024,978-1-123-45676-2,360,16.00,2200,4.3,English,Hardcover,1st,Case,https://example.com/secretgardenheart.jpg,"A heartwarming romance fantasy set in a magical garden.","Fantasy,Romance,Magic,Garden",
44,The Silent Witness,Aaron Baker,Thriller,Legal Thriller,Justice Publishing,2022,978-0-876-54319-3,320,15.25,2900,4.6,English,Paperback,1st,Perfect,https://example.com/silentwitness.jpg,"A gripping legal thriller with unexpected twists.","Thriller,Legal,Crime,Justice",
45,The Adventures of Alice in Space,Bella Clark,Children's,Science Fiction,Cosmic Kids Publishing,2023,978-1-345-67888-4,260,10.00,5300,4.7,English,Hardcover,Modern,Case,https://example.com/alicespace.jpg,"A futuristic adventure inspired by a classic.","Childrens,Sci-Fi,Adventure,Space",
46,The Complete Vegetarian Cookbook,Carlos Diaz,Cookbook,Vegetarian,Healthy Harvest Publishing,2024,978-0-765-43208-5,300,14.00,2400,4.4,English,Hardcover,1st,Spiral,https://example.com/vegetarian.jpg,"A collection of delicious vegetarian recipes.","Cookbook,Vegetarian,Recipes,Healthy",
47,Machine Learning Fundamentals,Eleanor Evans,Technology,Machine Learning,Tech Insights Pro Publishing,2022,978-1-456-78899-6,420,18.50,4000,4.8,English,Paperback,1st,Perfect,https://example.com/mlfundamentals.jpg,"An introduction to machine learning for beginners.","Machine Learning,Technology,AI,Data",
48,Surrealism and its Legacy,Frank Green,Art,History,Dream Visions Publishing,2023,978-0-654-32107-7,480,25.00,1600,4.5,English,Hardcover,Revised,Case,https://example.com/surrealism.jpg,"An examination of Surrealism and its impact on art.","Art,History,Surrealism,Artistic Movements",
49,Finding Your True Self,Grace Hall,Self-Help,Self-Discovery,Inner Compass Publishing,2024,978-1-567-89010-7,240,11.50,4200,4.7,English,Paperback,New Edition,Perfect,https://example.com/trueself.jpg,"A guide to discovering your authentic self.","Self-Help,Self-Discovery,Purpose,Identity",
50,Starship Command,Henry Ingram,Science Fiction,Military SF,Galactic Forces Publishing,2022,978-0-543-21096-9,380,17.25,3600,4.9,English,Paperback,1st,Perfect,https://example.com/starshipcommand.jpg,"A thrilling military science fiction adventure.","Sci-Fi,Military,Space,Command",
